Passes,f_i (hz),di (0.01 inch) +- 3,f_f (Hz),delta_d (0.01 in),
1,102,4.8,942,2.04,
1,110,5,993,2.17,
1,83,5,969,2.03,
1,125,6.3,990,2.03,
1,198,6.8,991,1.97,
1,160,4.1,974,2.02,
1,122,4.7,989,2.15,
1,107,5.4,987,2.02,
1,103,3.9,975,2.07,
1,108,3.6,971,2.13,
2,180,7.4,957,3.7,
2,120,3.3,984,4.21,
2,85,1.1,960,4.29,
2,93,1.9,956,4.26,
2,184,6.9,986,3.85,
2,145,9.2,940,4.34,
2,130,2.7,955,4.08,
2,142,0.5,948,4.14,
2,94,8,952,4.49,
2,101,0.9,921,4.2,
3,112,5.8,1003,6.04,
3,149,7.6,974,5.72,
3,135,6.8,990,5.87,
3,82,1.1,981,6.44,
3,129,7,986,5.82,
3,106,1.4,930,5.82,
3,75,0,950,5.9,
3,156,7.2,936,5.22,
3,132,7,942,5.68,
3,133,6.9,943,5.58,